"lat","lng","count"
8.55829,-71.1948,-49.5
8.60095,-71.1404,-49.5
8.55747,-71.1951,-49.5
8.58275,-71.1636,-49.5
8.55943,-71.1935,-49.5
8.59663,-71.1406,-49.5
8.60446,-71.1485,-49.5
8.55735,-71.1919,-50
8.5581,-71.1946,-50
8.55831,-71.1944,-50
8.56104,-71.1929,-50
8.55995,-71.1931,-50
8.56006,-71.193,-50
8.58641,-71.1587,-50
8.5596,-71.1927,-50
8.55702,-71.1928,-50
8.56387,-71.1906,-50
8.57782,-71.1707,-50
8.5782,-71.1701,-50.5
8.60281,-71.1505,-50.5
8.58149,-71.1663,-50.5
8.55756,-71.1937,-50.5
8.60197,-71.1526,-50.5
8.58025,-71.1675,-50.5
8.55783,-71.1935,-50.5
8.59749,-71.1408,-50.5
8.55929,-71.192,-50.5
8.57105,-71.1818,-50.5
8.57504,-71.175,-50.5
8.55986,-71.1927,-50.5
8.58676,-71.1583,-50.5
8.55803,-71.194,-50.5
8.59597,-71.14,-51
8.55766,-71.1936,-51
8.57153,-71.1809,-51
8.61374,-71.1445,-51
8.56296,-71.1914,-51
8.59923,-71.1385,-51.5
8.60123,-71.1387,-51.5
8.59713,-71.1399,-51.5
8.56692,-71.1881,-51.5
8.55738,-71.1932,-51.5
8.56218,-71.1919,-51.5
8.60254,-71.1399,-51.5
8.55638,-71.1943,-51.5
8.60025,-71.1427,-52
8.62355,-71.1458,-52
8.5575,-71.1918,-52
8.62241,-71.1456,-52
8.57949,-71.1687,-52
8.57848,-71.1702,-52
8.56936,-71.1854,-52
8.55782,-71.1948,-52
8.60177,-71.1394,-52
8.55787,-71.1941,-52
8.5757,-71.1739,-52
8.58869,-71.1528,-52
8.57315,-71.1787,-52.5
8.5592,-71.1924,-52.5
8.61833,-71.145,-52.5
8.5775,-71.1718,-52.5
8.55842,-71.1924,-52.5
8.59512,-71.1411,-52.5
8.60224,-71.1399,-52.5
8.59694,-71.1387,-53
8.6246,-71.1464,-53
8.57902,-71.1694,-53
8.55801,-71.1946,-53
8.55908,-71.1919,-53
8.56555,-71.1894,-53
8.59775,-71.1378,-53.5
8.5978,-71.146,-53.5
8.59748,-71.1381,-54
8.60023,-71.14,-54
8.57065,-71.1832,-54
8.57172,-71.1811,-54.5
8.58828,-71.1533,-55
8.58913,-71.1523,-55
8.59549,-71.1406,-55
8.55718,-71.1927,-55
8.57238,-71.1801,-55.5
8.61934,-71.1452,-55.5
8.56801,-71.187,-55.5
8.61589,-71.1442,-55.5
8.60236,-71.1517,-56
8.59776,-71.1391,-56
8.6019,-71.1397,-56
8.56617,-71.1886,-56.5
8.60066,-71.1394,-56.5
8.55669,-71.1925,-56.5
8.59747,-71.1395,-56.5
8.61447,-71.1444,-56.5
8.5663,-71.1888,-56.5
8.61465,-71.1444,-57
8.56647,-71.1883,-57.5
8.60353,-71.1493,-58
8.60195,-71.1383,-59
